,Cell_ID,streets_in,fclass,geometry,centroids
0,0,"{'מחרוזת', 'נחייסי', 'חלמית'}","{'residential', 'tertiary'}","POLYGON ((34.755981500000075 32.03353490000006, 34.75741990000006 32.033284200000026, 34.75744300000008 32.03328010000007, 34.758515300000056 32.03309050000007, 34.75873930000006 32.033050900000035, 34.75866890000003 32.03237240000004, 34.75864860000007 32.032210400000054, 34.758624800000064 32.03215650000004, 34.75857290000005 32.03211610000005, 34.758512600000074 32.03210610000008, 34.75805170000007 32.03216190000006, 34.757230400000026 32.032277100000044, 34.75576300000006 32.03248290000005, 34.755936200000065 32.03354280000008, 34.755981500000075 32.03353490000006))",POINT (34.757242726216155 32.03279313440979)
1,1,"{'מחרוזת', 'קהילת קנדה', 'פעמונית'}","{'residential', 'tertiary'}","POLYGON ((34.75333520000004 32.033721600000035, 34.75341780000008 32.033714400000065, 34.753517800000054 32.03373480000005, 34.753535800000066 32.03370690000003, 34.75356240000008 32.03368450000005, 34.75359540000005 32.033669400000065, 34.75363210000006 32.03366280000006, 34.75366950000006 32.033665400000075, 34.753704500000026 32.03367670000006, 34.75373420000005 32.03369610000004, 34.75375630000008 32.03372180000002, 34.75376890000007 32.03375170000004, 34.75377090000006 32.03378340000006, 34.75382390000004 32.033784800000035, 34.753842700000064 32.033785300000034, 34.753954700000065 32.03378820000006, 34.75415840000005 32.03379200000006, 34.754171400000075 32.03379230000007, 34.754210500000056 32.03378770000006, 34.754336300000034 32.03377290000003, 34.75440640000005 32.03376470000006, 34.75443510000008 32.03376130000004, 34.75449860000003 32.033753800000056, 34.75448220000004 32.03365730000007, 34.75439290000003 32.03313160000005, 34.75434340000004 32.03272940000005, 34.75418610000003 32.03208070000005, 34.75397450000003 32.03110380000004, 34.753824200000054 32.03112580000004, 34.752637400000026 32.031299800000056, 34.752284400000065 32.03137030000005, 34.75254400000006 32.03270770000006, 34.75278330000003 32.03381630000007, 34.75333520000004 32.033721600000035))",POINT (34.75340276473471 32.03249183730072)
2,2,"{'מחרוזת', 'הגבול (שמחה הולצברג)', 'שדרות ירושלים'}","{'secondary', 'tertiary'}","POLYGON ((34.75177670000005 32.034023700000034, 34.75187680000005 32.03399740000003, 34.75162000000006 32.032989300000054, 34.75159380000008 32.03284610000003, 34.75135930000005 32.03156430000007, 34.751267400000074 32.03123420000003, 34.75098630000008 32.030655000000024, 34.750951900000075 32.03058680000004, 34.75091450000008 32.03051240000008, 34.75035830000007 32.02981680000005, 34.74992170000007 32.029323600000055, 34.74987580000004 32.02937200000002, 34.74979620000005 32.029431600000066, 34.75065570000004 32.03048210000003, 34.75074980000005 32.030670300000054, 34.75096460000003 32.03109950000004, 34.75111480000004 32.03161800000004, 34.751225100000056 32.03249900000003, 34.75136190000006 32.03310150000004, 34.751415200000054 32.033281300000056, 34.751670200000035 32.03405170000008, 34.75177670000005 32.034023700000034))",POINT (34.751116729240444 32.03176587034663)
3,3,"{'שפתי ישנים', 'מכלל יופי', 'יפת'}","{'residential', 'tertiary'}","POLYGON ((34.74734180000007 32.03494230000007, 34.74722220000007 32.03486060000006, 34.746986700000036 32.034704600000055, 34.746689600000025 32.03487820000004, 34.747002800000075 32.035180500000024, 34.74734180000007 32.03494230000007))",POINT (34.74700943345206 32.03493232611039)
4,4,"{'סהרון', 'חריף אייזיק', 'שדרות ירושלים', 'סוקרטס', 'אריסטו', 'אפלטון', 'הגבול (שמחה הולצברג)', 'יפת', 'אייזק חריף'}","{'secondary', 'residential', 'tertiary'}","POLYGON ((34.74827820000007 32.035254000000066, 34.74848980000007 32.03500450000007, 34.748639800000035 32.03471600000006, 34.748700900000074 32.03441410000005, 34.74881410000006 32.034399800000074, 34.74919240000003 32.034371100000044, 34.749366000000066 32.034356600000024, 34.74939710000007 32.034359100000074, 34.74966490000003 32.034401900000034, 34.74991630000005 32.03444220000006, 34.750153700000055 32.034480200000075, 34.75031240000004 32.034447700000044, 34.75056930000005 32.03438230000006, 34.75100990000004 32.03427000000005, 34.75103770000004 32.034262900000044, 34.751670200000035 32.03405170000008, 34.751415200000054 32.033281300000056, 34.75136190000006 32.03310150000004, 34.751225100000056 32.03249900000003, 34.75111480000004 32.03161800000004, 34.75096460000003 32.03109950000004, 34.75074980000005 32.030670300000054, 34.75065570000004 32.03048210000003, 34.74979620000005 32.029431600000066, 34.74979550000006 32.029432100000065, 34.74969800000002 32.029494500000055, 34.74916170000006 32.02979600000003, 34.748707300000035 32.03005280000008, 34.747226700000056 32.03092420000007, 34.74719740000006 32.03095470000005, 34.74718860000007 32.030963900000074, 34.74720000000008 32.03100550000005, 34.74721660000006 32.031071600000075, 34.74728250000004 32.03123890000006, 34.747328700000025 32.03146270000008, 34.747342600000025 32.031529900000066, 34.747385500000064 32.03205380000003, 34.74749710000003 32.03244670000004, 34.74687910000006 32.03263590000006, 34.74626120000005 32.03291240000004, 34.745832000000064 32.03318890000003, 34.746321400000056 32.03359300000005, 34.74659260000004 32.033938300000045, 34.746486900000036 32.034036900000046, 34.74639570000005 32.03414380000004, 34.74640720000008 32.03416790000006, 34.74640900000003 32.034193800000025, 34.74652110000005 32.03428150000008, 34.74723700000004 32.03474760000006, 34.747412300000065 32.034867200000065, 34.74774680000007 32.03514130000008, 34.74801030000003 32.035393500000055, 34.748058600000036 32.03543970000004, 34.74827820000007 32.035254000000066))",POINT (34.748995716148286 32.03255238154587)
5,5,"{'מחרוזת', 'נרדור', 'הרב רובינשטיין'}",{'tertiary'},"POLYGON ((34.757897300000025 32.035304600000075, 34.757508200000075 32.033699100000035, 34.75742670000005 32.033316300000024, 34.75741990000006 32.033284200000026, 34.755981500000075 32.03353490000006, 34.755936200000065 32.03354280000008, 34.75539850000007 32.03362190000007, 34.754633400000046 32.033735200000024, 34.75449860000003 32.033753800000056, 34.75443510000008 32.03376130000004, 34.75440640000005 32.03376470000006, 34.754336300000034 32.03377290000003, 34.754210500000056 32.03378770000006, 34.754171400000075 32.03379230000007, 34.75415840000005 32.03379200000006, 34.753954700000065 32.03378820000006, 34.753842700000064 32.033785300000034, 34.75382390000004 32.033784800000035, 34.75377090000006 32.03378340000006, 34.75376270000004 32.03381360000003, 34.75374490000007 32.033840600000076, 34.753719000000046 32.033862500000055, 34.75368700000007 32.03387740000005, 34.753651400000024 32.03388430000007, 34.753615000000025 32.03388250000006, 34.753634100000056 32.03410080000003, 34.753665700000056 32.03433860000007, 34.753720600000065 32.03469190000004, 34.75376120000004 32.03484520000006, 34.75379970000006 32.03490800000003, 34.75385980000004 32.03494880000005, 34.75394060000008 32.034974100000056, 34.757714700000065 32.03543470000005, 34.75793530000004 32.035461600000076, 34.757897300000025 32.035304600000075))",POINT (34.75590423991678 32.034401752093814)
6,6,"{'נרדור', 'הרב רובינשטיין', 'סומקן'}","{'residential', 'tertiary'}","POLYGON ((34.75861630000003 32.035283700000036, 34.758569600000044 32.03526480000005, 34.758098000000075 32.03530440000003, 34.758032900000046 32.035330300000055, 34.757979800000044 32.035469300000045, 34.75839170000006 32.03554020000007, 34.758527800000024 32.03558270000008, 34.75856550000003 32.03561630000007, 34.758608200000026 32.03568700000005, 34.75861630000003 32.035283700000036))",POINT (34.75835262689882 32.03541682385557)
7,7,"{'שפתי ישנים', 'מכלל יופי', 'קדם'}",{'residential'},"POLYGON ((34.747002800000075 32.035180500000024, 34.746689600000025 32.03487820000004, 34.74570220000004 32.035481900000036, 34.74564620000007 32.03554490000005, 34.74564110000006 32.035601600000064, 34.74590530000006 32.035933700000044, 34.747002800000075 32.035180500000024))",POINT (34.746289366375265 32.035394163863145)
8,8,"{'שדרות ירושלים', 'הרב רובינשטיין', 'הרב הלר חיים', 'מחרוזת', 'סומקן'}","{'secondary', 'tertiary'}","POLYGON ((34.75865550000003 32.03631800000005, 34.75863810000004 32.03618000000006, 34.75861900000007 32.03583480000003, 34.75861230000004 32.03571110000007, 34.758608200000026 32.03568700000005, 34.75856550000003 32.03561630000007, 34.758527800000024 32.03558270000008, 34.75839170000006 32.03554020000007, 34.757979800000044 32.035469300000045, 34.75793530000004 32.035461600000076, 34.757714700000065 32.03543470000005, 34.75394060000008 32.034974100000056, 34.75385980000004 32.03494880000005, 34.75379970000006 32.03490800000003, 34.75376120000004 32.03484520000006, 34.753720600000065 32.03469190000004, 34.753665700000056 32.03433860000007, 34.753634100000056 32.03410080000003, 34.753615000000025 32.03388250000006, 34.75357950000006 32.033871900000065, 34.75354900000008 32.033853100000044, 34.753526100000045 32.033827700000074, 34.753512700000044 32.033797900000025, 34.753509800000074 32.03376600000007, 34.753517800000054 32.03373480000005, 34.75341780000008 32.033714400000065, 34.75333520000004 32.033721600000035, 34.75278330000003 32.03381630000007, 34.75194360000006 32.033984100000055, 34.75187680000005 32.03399740000003, 34.75203280000005 32.034352600000034, 34.75219590000006 32.03468380000004, 34.752405200000055 32.03495330000004, 34.75258870000005 32.035119800000075, 34.75290080000008 32.03536370000006, 34.75334830000003 32.03561560000003, 34.754268800000034 32.03595180000008, 34.75445150000007 32.036029400000075, 34.75467310000005 32.036094200000036, 34.75505160000006 32.03618000000006, 34.75540280000007 32.03625060000007, 34.756687200000044 32.036294800000064, 34.75732830000004 32.036319900000024, 34.75855050000007 32.03632340000007, 34.75865550000003 32.03631800000005))",POINT (34.75505006705101 32.03534310880674)
9,9,"{'יפת', 'מכלל יופי', 'קדם', 'פחד יצחק'}","{'residential', 'tertiary'}","POLYGON ((34.74729190000005 32.036027500000046, 34.74739990000006 32.03595400000006, 34.74798660000005 32.03550880000006, 34.747663300000056 32.035206800000026, 34.74734180000007 32.03494230000007, 34.747002800000075 32.035180500000024, 34.74590530000006 32.035933700000044, 34.74606270000004 32.03613440000004, 34.74618170000008 32.03633720000005, 34.74729190000005 32.036027500000046))",POINT (34.74696125630433 32.035684560760124)
